"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0.1,-78.7838225614126,-100.839216494989,-83.6043597898899,-78.1651678175,-84.7383511096737,-80.5490069821224,-85.6181927256359,-90.788109455283,-98.043731332682,-86.9391974045038
0.101,-78.7581351451621,-100.7648765881,-83.5665376291749,-78.1287437065806,-84.7249123075638,-80.5225752384674,-85.5732326874968,-90.7353842458221,-97.986484688515,-86.9089410098318
0.102,-78.7325176106807,-100.690821301241,-83.5288543078978,-78.0924824464373,-84.7114587254861,-80.4962301484245,-85.5283866958902,-90.6828522997852,-97.9294019101404,-86.8788035867392
0.103,-78.7069695338774,-100.617048312412,-83.4913085804287,-78.0563828885001,-84.6979905741577,-80.4699711299293,-85.4836541745063,-90.630511364569,-97.8724814754409,-86.848784135497
0.104,-78.6814904940477,-100.54355532647,-83.4538992206912,-78.0204438943004,-84.6845080596676,-80.4437976067863,-85.4390345488369,-90.5783592276255,-97.8157218839753,-86.818881667446
0.105,-78.6560800738405,-100.470340074727,-83.4166250217401,-77.984664335375,-84.671011383586,-80.4177090085892,-85.3945272462445,-90.526393715523,-97.7591216565502,-86.789095204843
0.106,-78.6307378592249,-100.397400314561,-83.3794847953513,-77.949043093171,-84.6575007430706,-80.3917047706424,-85.350131696026,-90.4746126930346,-97.702679334802,-86.7594237807085
0.107,-78.605463439458,-100.324733829032,-83.3424773716206,-77.9135790589505,-84.6439763309702,-80.3657843338844,-85.3058473294748,-90.4230140622522,-97.646393480789,-86.7298664386773
0.108,-78.5802564070522,-100.252338426502,-83.3056015985758,-77.8782711336965,-84.6304383359247,-80.3399471448114,-85.2616735799372,-90.3715957617254,-97.5902626765934,-86.7004222328504
0.109,-78.5551163577438,-100.180211940268,-83.2688563417962,-77.8431182280187,-84.6168869424631,-80.3141926554035,-85.2176098828667,-90.3203557656257,-97.5342855239332,-86.6710902276509
0.11,-78.5300428904609,-100.108352228194,-83.2322404840446,-77.8081192620601,-84.603322331098,-80.2885203230507,-85.1736556758747,-90.2692920829331,-97.4784606437835,-86.6418694976799
0.111,-78.5050356072927,-100.036757172355,-83.1957529249066,-77.7732731654048,-84.5897446784183,-80.2629296104813,-85.1298103987774,-90.2184027566459,-97.4227866760062,-86.6127591275764
0.112,-78.4800941134581,-99.9654246786832,-83.1593925804414,-77.7385788769851,-84.5761541571786,-80.2374199856909,-85.0860734936406,-90.1676858630125,-97.3672622789896,-86.5837582118785
0.113,-78.4552180172755,-99.8943526766261,-83.1231583828398,-77.7040353449905,-84.5625509363867,-80.2119909218726,-85.0424444048214,-90.1171395107841,-97.3118861292955,-86.5548658548867
0.114,-78.4304069301326,-99.8235391188028,-83.087049280092,-77.6696415267763,-84.5489351813881,-80.1866418973483,-84.9989225790068,-90.0667618404885,-97.2566569213155,-86.5260811705297
0.115,-78.4056604664561,-99.7529819806724,-83.0510642356637,-77.635396388774,-84.535307053949,-80.1613723955013,-84.9555074652502,-90.0165510237234,-97.2015733669351,-86.4974032822319
0.116,-78.3809782436825,-99.6826792602054,-83.0152022281804,-77.6012989064011,-84.5216667123363,-80.1361819047101,-84.912198515005,-89.9665052624686,-97.1466341952053,-86.4688313227831
0.117,-78.3563598822284,-99.6126289775618,-82.9794622511196,-77.5673480639723,-84.5080143113962,-80.1110699182829,-84.8689951821563,-89.9166227884176,-97.0918381520226,-86.4403644342102
0.118,-78.331805005462,-99.5428291747735,-82.9438433125109,-77.5335428546116,-84.4943500026296,-80.0860359343932,-84.8258969230499,-89.8669018623269,-97.0371839998158,-86.4120017676508
0.119,-78.3073132396741,-99.4732779154333,-82.9083444346436,-77.4998822801643,-84.4806739342669,-80.061079456017,-84.7829031965194,-89.8173407733825,-96.9826705172404,-86.3837424832287
0.12,-78.28288421405,-99.4039732843891,-82.8729646537815,-77.4663653511103,-84.4669862513395,-80.03619999087,-84.7400134639111,-89.7679378385836,-96.9282964988797,-86.3555857499319
0.121,-78.2585175606411,-99.3349133874427,-82.837703019885,-77.4329910864782,-84.4532870957504,-80.0113970513471,-84.6972271891072,-89.7186914021426,-96.8740607549535,-86.3275307454912
0.122,-78.2342129143376,-99.266096351054,-82.8025585963398,-77.3997585137594,-84.4395766063421,-79.9866701544615,-84.6545438385471,-89.6695998349009,-96.8199621110325,-86.2995766562622
0.123,-78.2099699128407,-99.1975203220507,-82.7675304596928,-77.3666666688238,-84.4258549189635,-79.962018821786,-84.6119628812464,-89.6206615337602,-96.7659994077598,-86.271722677108
0.124,-78.1857881966354,-99.1291834673421,-82.7326176993937,-77.3337145958357,-84.4121221665345,-79.937442579394,-84.5694837888148,-89.5718749211286,-96.7121715005784,-86.2439680112842
0.125,-78.1616674089642,-99.0610839736383,-82.6978194175435,-77.3009013471705,-84.3983784791094,-79.9129409578029,-84.5271060354722,-89.5232384443811,-96.6584772594652,-86.2163118703257
0.126,-78.1376071957998,-98.9932200471742,-82.6631347286492,-77.268225983332,-84.3846239839378,-79.8885134919169,-84.4848290980634,-89.4747505753341,-96.6049155686707,-86.1887534739349
0.127,-78.1136072058193,-98.9255899134373,-82.6285627593839,-77.2356875728712,-84.3708588055252,-79.8641597209719,-84.4426524560707,-89.4264098097337,-96.5514853264642,-86.1612920498718
0.128,-78.089667090378,-98.8581918169016,-82.594102648353,-77.2032851923047,-84.3570830656909,-79.8398791884804,-84.4005755916259,-89.3782146667566,-96.4981854448858,-86.1339268338463
0.129,-78.0657865034838,-98.7910240207639,-82.5597535458665,-77.1710179260347,-84.343296883625,-79.8156714421778,-84.3585979895207,-89.3301636885245,-96.4450148495022,-86.1066570694112
0.13,-78.0419651017715,-98.7240848066866,-82.5255146137153,-77.1388848662691,-84.3295003759439,-79.7915360339694,-84.3167191372154,-89.28225543963,-96.3919724791696,-86.0794820078575
0.131,-78.0182025444779,-98.6573724745434,-82.4913850249547,-77.1068851129432,-84.3156936567442,-79.767472519878,-84.2749385248468,-89.2344885066755,-96.3390572858003,-86.0524009081115
0.132,-77.9944984934168,-98.5908853421693,-82.4573639636915,-77.0750177736414,-84.3018768376554,-79.7434804599929,-84.2332556452352,-89.1868614978227,-96.2862682341358,-86.0254130366327
0.133,-77.9708526129546,-98.5246217451158,-82.423450624877,-77.0432819635197,-84.2880500278913,-79.7195594184187,-84.1916699938893,-89.1393730423541,-96.2336043015237,-85.9985176673136
0.134,-77.9472645699853,-98.4585800364086,-82.3896442141045,-77.0116768052295,-84.2742133343002,-79.6957089632262,-84.1501810690114,-89.0920217902453,-96.1810644776999,-85.9717140813819
0.135,-77.923734033907,-98.3927585863107,-82.3559439474114,-76.9802014288412,-84.2603668614132,-79.6719286664027,-84.1087883715001,-89.0448064117478,-96.1286477645756,-85.9450015673029
0.136,-77.900260676598,-98.3271557820884,-82.3223490510866,-76.9488549717698,-84.2465107114924,-79.648218103804,-84.0674914049537,-88.9977255969821,-96.0763531760291,-85.9183794206836
0.137,-77.8768441723928,-98.2617700277817,-82.2888587614811,-76.9176365787001,-84.232644984577,-79.624576855107,-84.026289675671,-88.9507780555412,-96.0241797377009,-85.8918469441798
0.138,-77.8534841980591,-98.1965997439781,-82.2554723248246,-76.8865454015131,-84.2187697785286,-79.6010045037626,-83.9851826926525,-88.9039625161033,-95.9721264867946,-85.8654034474022
0.139,-77.8301804327749,-98.1316433675903,-82.2221889970449,-76.8555805992131,-84.2048851890755,-79.5775006369496,-83.9441699676,-88.8572777260541,-95.9201924718814,-85.8390482468259
0.14,-77.806932558105,-98.0668993516376,-82.1890080435921,-76.8247413378558,-84.1909913098554,-79.5540648455294,-83.9032510149162,-88.8107224511189,-95.8683767527084,-85.8127806657003
0.141,-77.7837402579793,-98.0023661650305,-82.1559287392668,-76.7940267904765,-84.1770882324583,-79.5306967240015,-83.8624253517022,-88.7642954750025,-95.8166784000117,-85.786600033961
0.142,-77.7606032186697,-97.9380422923589,-82.122950368052,-76.7634361370198,-84.1631760464665,-79.5073958704588,-83.8216924977562,-88.7179955990387,-95.7650964953325,-85.7605056881421
0.143,-77.7375211287683,-97.8739262336842,-82.090072222949,-76.732968564269,-84.1492548394953,-79.4841618865449,-83.7810519755696,-88.6718216418476,-95.7136301308379,-85.7344969712909
0.144,-77.7144936791655,-97.8100165043338,-82.0572936058167,-76.7026232657775,-84.1353246972319,-79.4609943774109,-83.7405033103237,-88.6257724390016,-95.662278409145,-85.7085732328832
0.145,-77.6915205630286,-97.7463116346999,-82.0246138272146,-76.6723994418,-84.1213857034736,-79.4378929516736,-83.7000460298852,-88.579846842699,-95.6110404431484,-85.6827338287402
0.146,-77.66860147578,-97.6828101700407,-81.9920322062497,-76.6422962992243,-84.1074379401648,-79.4148572213739,-83.6596796648016,-88.5340437214454,-95.559915355852,-85.6569781209465
0.147,-77.6457361150762,-97.6195106702854,-81.9595480704265,-76.6123130515045,-84.0934814874336,-79.3918868019358,-83.6194037482954,-88.4883619597424,-95.5089022802034,-85.6313054777693
0.148,-77.622924180787,-97.5564117098417,-81.9271607554996,-76.5824489185947,-84.0795164236273,-79.3689813121265,-83.5792178162584,-88.4428004577842,-95.4580003589323,-85.6057152735794
0.149,-77.6001653749746,-97.493511877407,-81.8948696053312,-76.5527031268826,-84.0655428253469,-79.3461403740165,-83.5391214072451,-88.3973581311605,-95.4072087443917,-85.5802068887721
